Date,Unburned_Chlorophylla_mgL,Fire100_Chlorophylla_mgL
2020-01-02,1.36132622373285,1.36132622373285
2020-01-02,1.36132622373285,1.32953518542348
2020-01-02,1.32953518542348,1.36132622373285
2020-01-02,1.32953518542348,1.32953518542348
2020-01-03,1.47025502295352,1.47025402054329
2020-01-03,1.47025502295352,1.44300653746337
2020-01-03,1.44300653746337,1.47025402054329
2020-01-03,1.44300653746337,1.44300653746337
2020-01-04,1.55682814867364,1.55682690937011
2020-01-04,1.55682814867364,1.52844482463376
2020-01-04,1.52844482463376,1.55682690937011
2020-01-04,1.52844482463376,1.52844482463376
2020-01-05,1.65846296640502,1.65846296650455
2020-01-05,1.65846296640502,1.61498541255565
2020-01-05,1.61498541147455,1.65846296650455
2020-01-05,1.61498541147455,1.61498541255565
2020-01-06,1.74461458781433,1.74462112686214
2020-01-06,1.74461458781433,1.69758000886218
2020-01-06,1.69757024530896,1.74462112686214
2020-01-06,1.69757024530896,1.69758000886218
2020-01-07,1.82940375042151,1.82954771261697
2020-01-07,1.82940375042151,1.72546577096009
2020-01-07,1.725300521498,1.82954771261697
2020-01-07,1.725300521498,1.72546577096009
2020-01-08,1.6985050876465,1.81727084399641
2020-01-08,1.6985050876465,1.07006964209407
2020-01-08,1.06946496138183,1.81727084399641
2020-01-08,1.06946496138183,1.07006964209407
2020-01-09,1.147206630682,1.1500905411437
2020-01-09,1.147206630682,1.0712097799620800
2020-01-09,1.0685227348656,1.1500905411437
2020-01-09,1.0685227348656,1.0712097799620800
2020-01-10,1.14390038321253,1.14998966753701
2020-01-10,1.14390038321253,1.09178149302549
2020-01-10,1.08599720188924,1.14998966753701
2020-01-10,1.08599720188924,1.09178149302549
2020-01-11,1.15410092971179,1.16353131975558
2020-01-11,1.15410092971179,1.1088213669004
2020-01-11,1.09992733420771,1.16353131975558
2020-01-11,1.09992733420771,1.1088213669004
2020-01-12,1.16521601288581,1.17718721682148
2020-01-12,1.16521601288581,1.14749582568848
2020-01-12,1.13603752165305,1.17718721682148
2020-01-12,1.13603752165305,1.14749582568848
2020-01-13,1.23190133372207,1.25382856989884
2020-01-13,1.23190133372207,1.22644961069061
2020-01-13,1.21118942864008,1.25382856989884
2020-01-13,1.21118942864008,1.22644961069061
2020-01-14,1.28555677030132,1.32734673366983
2020-01-14,1.28555677030132,1.29692482882412
2020-01-14,1.28364161193963,1.32734673366983
2020-01-14,1.28364161193963,1.29692482882412
2020-01-15,1.08370725937418,1.2476015375478
2020-01-15,1.08370725937418,1.30445591492836
2020-01-15,1.28164568702642,1.2476015375478
2020-01-15,1.28164568702642,1.30445591492836
2020-01-16,1.25793266303976,1.21324380686094
2020-01-16,1.25793266303976,1.25978891835078
2020-01-16,1.23253859287206,1.21324380686094
2020-01-16,1.23253859287206,1.25978891835078
2020-01-17,1.09732272299703,1.13859992567134
2020-01-17,1.09732272299703,0.691507343344827
2020-01-17,0.668936703303334,1.13859992567134
2020-01-17,0.668936703303334,0.691507343344827
2020-01-18,0.712262421054244,0.744127284978403
2020-01-18,0.712262421054244,0.69073456800453
2020-01-18,0.661122278439857,0.744127284978403
2020-01-18,0.661122278439857,0.69073456800453
2020-01-19,0.694943711526536,0.729648762849418
2020-01-19,0.694943711526536,0.670143964849015
2020-01-19,0.638233584978787,0.729648762849418
2020-01-19,0.638233584978787,0.670143964849015
2020-01-20,0.684164408809166,0.725577211259848
2020-01-20,0.684164408809166,0.680701199808878
2020-01-20,0.641811950725421,0.725577211259848
2020-01-20,0.641811950725421,0.680701199808878
2020-01-21,0.686909662250607,0.736337858507235
2020-01-21,0.686909662250607,0.702654427227872
2020-01-21,0.655500729824434,0.736337858507235
2020-01-21,0.655500729824434,0.702654427227872
2020-01-22,0.701736185135595,0.760768418018912
2020-01-22,0.701736185135595,0.712622795593099
2020-01-22,0.64247407390166,0.760768418018912
2020-01-22,0.64247407390166,0.712622795593099
2020-01-23,0.740485651094493,0.823868930297641
2020-01-23,0.740485651094493,0.711779739403114
2020-01-23,0.706115305147382,0.823868930297641
2020-01-23,0.706115305147382,0.711779739403114
2020-01-24,0.793506884740333,0.902712379546549
2020-01-24,0.793506884740333,0.674538378554251
2020-01-24,0.655510921178226,0.902712379546549
2020-01-24,0.655510921178226,0.674538378554251
2020-01-25,0.778297011694978,0.867744567635413
2020-01-25,0.778297011694978,0.41803000500021
2020-01-25,0.385005850196165,0.867744567635413
2020-01-25,0.385005850196165,0.41803000500021
2020-01-26,0.70097893939786,0.763591992137557
2020-01-26,0.70097893939786,0.155930891857486
2020-01-26,0.185974453853967,0.763591992137557
2020-01-26,0.185974453853967,0.155930891857486
2020-01-27,0.354997728228161,0.756991953598016
2020-01-27,0.354997728228161,0.12522747774513
2020-01-27,0.132229571810379,0.756991953598016
2020-01-27,0.132229571810379,0.12522747774513
2020-01-28,0.163564000488919,0.167021707482302
2020-01-28,0.163564000488919,0.083542353499148
2020-01-28,0.110446028570359,0.167021707482302
2020-01-28,0.110446028570359,0.083542353499148
2020-01-29,0.196586471472587,0.166678512265722
2020-01-29,0.196586471472587,0.0857702130935939
2020-01-29,0.13144426003355,0.166678512265722
2020-01-29,0.13144426003355,0.0857702130935939
2020-01-30,0.243174074141774,0.295289291552712
2020-01-30,0.243174074141774,0.0994884272239683
2020-01-30,0.136010287960761,0.295289291552712
2020-01-30,0.136010287960761,0.0994884272239683
2020-01-31,0.240180317366469,0.376571536796534
2020-01-31,0.240180317366469,0.0782008076462898
2020-01-31,0.106549951984074,0.376571536796534
