Date,baseline_temp_C,fire100_temp_C
2020-02-18,3.44784182278694,6.51533022305536
2020-02-18,3.44784182278694,6.09498690129048
2020-02-18,4.29182494000019,6.51533022305536
2020-02-18,4.29182494000019,6.09498690129048
2020-02-19,4.13773261995437,6.69985746190288
2020-02-19,4.13773261995437,6.28276835029799
2020-02-19,4.82049672775464,6.69985746190288
2020-02-19,4.82049672775464,6.28276835029799
2020-02-20,5.22351003234866,6.52338063197443
2020-02-20,5.22351003234866,6.29507884935654
2020-02-20,5.00672899709136,6.52338063197443
2020-02-20,5.00672899709136,6.29507884935654
2020-02-21,5.19697225754674,6.39657110484926
2020-02-21,5.19697225754674,6.03446863134495
2020-02-21,4.86586650950713,6.39657110484926
2020-02-21,4.86586650950713,6.03446863134495
2020-02-22,5.16923101613797,6.36398264054219
2020-02-22,5.16923101613797,5.87496387724378
2020-02-22,4.83495706784501,6.36398264054219
2020-02-22,4.83495706784501,5.87496387724378
2020-02-23,5.66610780307476,6.66207467775076
2020-02-23,5.66610780307476,5.96932711049596
2020-02-23,5.0467305977928,6.66207467775076
2020-02-23,5.0467305977928,5.96932711049596
2020-02-24,6.30977819787566,6.89330222625109
2020-02-24,6.30977819787566,6.42966038152718
2020-02-24,5.5532276152686,6.89330222625109
2020-02-24,5.5532276152686,6.42966038152718
2020-02-25,6.13467502299647,6.94418960520065
2020-02-25,6.13467502299647,6.93394442059205
2020-02-25,6.04452486670943,6.94418960520065
2020-02-25,6.04452486670943,6.93394442059205
2020-02-26,7.46052925976863,8.20469103626347
2020-02-26,7.46052925976863,7.75496280785608
2020-02-26,7.00636845418289,8.20469103626347
2020-02-26,7.00636845418289,7.75496280785608
2020-02-27,7.99240817392688,8.7860626277219
2020-02-27,7.99240817392688,7.61821208740445
2020-02-27,6.98279850422879,8.7860626277219
2020-02-27,6.98279850422879,7.61821208740445
2020-02-28,5.40048689562326,7.88552394753586
2020-02-28,5.40048689562326,7.14988144930084
2020-02-28,6.26954696904385,7.88552394753586
2020-02-28,6.26954696904385,7.14988144930084
2020-02-29,6.17148751962549,7.34524643096312
2020-02-29,6.17148751962549,6.79955607372065
2020-02-29,5.95401999301911,7.34524643096312
2020-02-29,5.95401999301911,6.79955607372065
2020-03-01,6.3409648519308,7.09268793049477
2020-03-01,6.3409648519308,6.62792314701364
2020-03-01,5.8135126225882,7.09268793049477
2020-03-01,5.8135126225882,6.62792314701364
2020-03-02,6.54862776128842,7.36848875179972
2020-03-02,6.54862776128842,6.78137498052401
2020-03-02,6.01882038332333,7.36848875179972
2020-03-02,6.01882038332333,6.78137498052401
2020-03-03,6.49793771150859,7.208877208752
2020-03-03,6.49793771150859,7.14896095215003
2020-03-03,6.39453254366215,7.208877208752
2020-03-03,6.39453254366215,7.14896095215003
2020-03-04,7.52879705100535,8.2219389429828
2020-03-04,7.52879705100535,7.4873504365177
2020-03-04,6.85293168215238,8.2219389429828
2020-03-04,6.85293168215238,7.4873504365177
2020-03-05,7.71482461339087,8.45087141336018
2020-03-05,7.71482461339087,7.88126320240372
2020-03-05,7.279849143272,8.45087141336018
2020-03-05,7.279849143272,7.88126320240372
2020-03-06,7.68550932755291,8.32015577172373
2020-03-06,7.68550932755291,7.787159018261
2020-03-06,7.25437238224451,8.32015577172373
2020-03-06,7.25437238224451,7.787159018261
2020-03-07,7.38201943396193,8.18044160284977
2020-03-07,7.38201943396193,7.57164283722937
2020-03-07,6.92292074786606,8.18044160284977
2020-03-07,6.92292074786606,7.57164283722937
2020-03-08,7.41430454458313,8.01206688725943
2020-03-08,7.41430454458313,7.53897072553489
2020-03-08,6.90756874940398,8.01206688725943
2020-03-08,6.90756874940398,7.53897072553489
2020-03-09,8.01630064393922,8.7221745197799
2020-03-09,8.01630064393922,8.02606162124712
2020-03-09,7.29635746265732,8.7221745197799
2020-03-09,7.29635746265732,8.02606162124712
2020-03-10,8.24789151094511,8.96588748444406
2020-03-10,8.24789151094511,8.86868955342797
2020-03-10,8.28460976983337,8.96588748444406
2020-03-10,8.28460976983337,8.86868955342797
2020-03-11,9.20105990772274,9.92927188934132
2020-03-11,9.20105990772274,9.95492361327573
2020-03-11,9.2790489417213200,9.92927188934132
2020-03-11,9.2790489417213200,9.95492361327573
2020-03-12,10.6163829907095,11.3821749713648
2020-03-12,10.6163829907095,10.7546923379366
2020-03-12,10.1727213101521,11.3821749713648
2020-03-12,10.1727213101521,10.7546923379366
2020-03-13,11.3242703458885,12.0856173674919
2020-03-13,11.3242703458885,12.0900982059523
2020-03-13,11.4412161378493,12.0856173674919
2020-03-13,11.4412161378493,12.0900982059523
2020-03-14,12.39296588565,12.9972049606638
2020-03-14,12.39296588565,11.8678306141101
2020-03-14,10.8373157982653,12.9972049606638
2020-03-14,10.8373157982653,11.8678306141101
2020-03-15,11.5696113264346,12.5117090574586
2020-03-15,11.5696113264346,12.1086507464988
2020-03-15,11.2073332412227,12.5117090574586
2020-03-15,11.2073332412227,12.1086507464988
2020-03-16,11.2686244012418,12.1203115433431
2020-03-16,11.2686244012418,11.7301847706417
2020-03-16,10.958934479429,12.1203115433431
2020-03-16,10.958934479429,11.7301847706417
2020-03-17,11.1820516888331,11.893686871067
2020-03-17,11.1820516888331,11.5436750808963
2020-03-17,10.8182260889201,11.893686871067
2020-03-17,10.8182260889201,11.5436750808963
2020-03-18,11.7948509931455,12.4108690887862
2020-03-18,11.7948509931455,11.5397820569878
2020-03-18,10.947420817694,12.4108690887862
2020-03-18,10.947420817694,11.5397820569878
2020-03-19,11.2857480105279,11.8463465783185
